customer_id,customer_name,age,monthly_income,monthly_expense,existing_emi,avg_balance,credit_score,digital_transactions,loan_inquiries,salary_consistency,property_interest,vehicle_interest,conversion
1,Patty Garcia,59,70000,51120,12809,391436,752,141,2,0.64,0,0,0
2,Dustin Hubbard,37,70000,29602,13218,318565,703,125,3,0.67,1,1,0
3,Brian Heath,42,50000,28724,4786,391513,780,276,4,0.82,1,0,1
4,Bob Anderson,59,150000,83144,15652,499897,700,253,3,0.7,0,0,0
5,Tara Davenport,56,50000,31722,10118,204599,848,147,1,0.94,0,0,1
6,Austin Fox,28,200000,127675,15403,1051048,836,41,4,0.79,1,0,0
7,Kelly Alexander,47,40000,28037,7407,247283,692,265,4,0.72,0,0,0
8,Michael Williams,50,50000,33403,3385,231691,832,248,1,0.99,1,0,1
9,Alexander Orr,52,30000,16972,5129,170853,729,266,1,0.61,0,1,0
10,Jeffrey Powell,59,200000,144460,42920,914792,662,298,0,0.7,0,0,0
11,Kendra Spencer,29,40000,28270,1466,203198,815,155,4,0.75,1,1,0
12,Brittany Johnston,38,200000,120351,34787,945449,766,73,2,0.96,0,0,1
13,Sarah Allen,53,40000,14589,1338,83281,704,25,3,0.93,1,1,0
14,Brandon Petty DVM,54,40000,20275,4374,296998,701,268,0,0.91,0,0,0
15,Marilyn Peters,54,30000,16541,5177,67076,696,140,2,0.97,0,0,0
16,Carl Clements,38,200000,116735,36841,1069290,817,255,2,0.75,0,1,0
17,Brooke Young,40,30000,16858,5304,198200,687,158,3,0.73,0,0,0
18,Kaitlin Greer,45,40000,27065,4391,170466,828,144,0,0.9,0,0,1
19,James Savage,56,70000,44553,10483,487255,723,57,1,0.98,0,0,1
20,Jennifer Harris,58,40000,21451,4808,300429,777,270,2,0.7,0,0,0
21,Lori Dickson,30,40000,28358,5265,272179,704,197,4,0.76,0,0,0
22,Tiffany Suarez,58,150000,74265,32290,497559,735,299,0,0.95,0,1,1
23,Leah Gilmore,22,70000,51341,3226,177941,764,48,4,0.93,0,1,1
24,Tammy Walton,36,50000,32144,10082,297635,767,217,0,0.96,0,0,1
25,Sarah Schneider,22,200000,106955,49517,400285,662,160,1,0.98,1,1,0
26,Melissa Griffith,30,50000,21030,2756,155931,652,281,4,0.62,1,1,0
27,Jose Ryan,52,150000,88044,30925,613028,747,59,2,0.95,1,0,1
28,Juan Bradford III,50,100000,39100,23430,612731,717,238,0,0.91,1,0,0
29,Mariah Merritt,21,40000,28305,2299,131145,713,299,3,0.83,0,0,0
30,James Boyd,28,50000,27110,1311,172613,770,65,3,0.88,0,0,1
31,Tiffany Anderson,31,40000,14965,2471,118290,694,262,1,0.73,0,0,0
32,Roy Williams,32,50000,29959,7894,319933,748,27,3,0.96,0,0,1
33,Jeffrey Hatfield,57,30000,20630,6042,165363,783,127,2,0.64,0,0,0
34,Tony Mitchell,46,50000,31164,6214,285354,785,251,0,0.61,1,0,0
35,Kevin Sanchez,53,30000,17048,3333,62640,660,129,1,0.9,0,0,0
36,Parker Pugh,33,70000,47548,9143,191753,757,93,4,0.67,0,1,0
37,Russell Chavez,37,150000,53918,24073,846384,809,30,1,0.7,0,0,0
38,Deborah Cooper,50,70000,26183,9840,542202,726,227,1,0.64,0,1,0
39,Kelly Wall,57,70000,30338,16285,188873,731,177,1,0.95,1,1,1
40,Alan Graham,43,50000,25229,7055,157534,738,149,2,0.9,0,0,1
41,Kenneth Johnson,41,100000,67061,23989,492712,837,210,4,0.94,0,0,1
42,Jason Patel,37,100000,55343,9689,477168,788,230,2,0.67,0,0,0
43,Erik Camacho,40,100000,62039,12401,207628,798,141,0,0.7,0,0,0
44,William Sosa,54,50000,23718,9279,344535,804,85,0,0.75,0,0,0
45,Christopher Olson,24,150000,81695,22476,841931,837,79,2,0.8,0,0,0
46,Aaron Reilly,39,40000,27643,2255,170459,713,68,4,0.78,0,0,0
47,Mary Baldwin,52,50000,36767,7002,381046,819,173,3,0.92,0,0,1
48,Thomas Rodgers,30,50000,18539,9828,160409,784,296,3,0.82,1,1,1
49,Angela Olson,23,50000,23038,12294,142213,778,27,4,0.89,1,0,1
50,Carlos Mitchell,41,70000,47627,1761,240747,829,53,0,0.9,0,0,1
51,Kevin Mckinney Jr.,58,150000,104373,20499,642360,679,103,0,0.62,1,1,0
52,Russell Wright,50,70000,40818,17420,499392,798,295,4,0.84,0,0,1
53,Candace Richards,39,70000,37649,7883,338647,748,161,2,0.78,0,0,0
54,Michelle Norman,43,150000,67956,2232,843415,731,165,1,0.87,1,0,1
55,Christopher Thompson,58,70000,35346,14907,309637,822,92,4,0.94,0,0,1
56,Wesley Coleman,25,150000,54152,18954,1167615,653,173,2,0.68,1,0,0
57,Robert Martin,48,200000,81135,22202,1151481,788,292,2,0.95,0,0,1
58,Tammy Rodriguez,37,50000,35389,5699,233036,824,258,3,0.92,0,1,1
59,Duane Hill,21,70000,44100,1827,307622,683,279,2,0.74,0,1,0
60,Stephanie Woods,40,40000,17870,7139,277408,801,41,3,0.66,1,0,0
61,Andrew Johnson,33,100000,73641,19025,770463,824,113,0,0.64,1,0,0
62,Kristen Kline,30,150000,67013,34165,1054438,730,157,2,0.8,0,0,0
63,Dr. Tracy Macias,23,100000,44129,6165,490446,728,143,3,0.62,1,1,0
64,Joe Medina,52,100000,72962,24057,572545,711,105,1,0.82,0,0,0
65,Monique Hayes,29,100000,35361,8925,755716,819,274,2,0.62,1,0,0
66,Paul Johnston,21,30000,12278,5096,100480,717,216,2,0.83,0,0,0
67,George Sims,26,100000,63925,5014,322147,734,231,2,0.95,0,0,1
68,Michelle Smith,37,30000,15885,1192,92435,816,217,0,0.65,0,1,0
69,Dawn Ward,47,150000,59609,36056,942969,796,223,2,0.95,1,0,1
70,Daniel Holloway,34,200000,103466,37546,521647,678,299,1,0.98,1,0,0
71,Alicia Tran PhD,56,50000,29453,10826,384020,803,285,4,0.98,1,1,1
72,Brandon Brooks,53,30000,10689,578,224010,710,180,2,0.84,0,0,0
73,Donna Shannon,33,70000,41026,7133,337200,737,226,0,0.91,0,0,1
74,Matthew Holland,37,70000,48545,13096,324468,678,258,4,0.76,1,0,0
75,Nicholas Kidd,33,150000,87024,830,1150602,697,264,4,0.73,0,0,0
76,David Harvey,32,200000,113340,48403,479877,706,68,4,0.78,0,1,0
77,Vicki Lewis,36,200000,118432,21658,1329163,711,189,4,0.89,0,0,0
78,Michael Baird,28,30000,16067,1980,134743,745,182,4,0.85,1,1,1
79,Erin Mercado,52,70000,25590,14649,400201,748,22,4,0.95,0,0,1
80,Hector Villanueva,24,30000,12652,5288,141930,824,228,4,0.98,0,0,1
81,Alicia Sanchez,28,200000,137791,3119,802334,702,138,3,0.93,1,1,0
82,James Parrish,48,150000,100728,5143,822629,817,147,2,0.6,0,1,0
83,Jeremy Pruitt,46,150000,91184,8618,797396,674,179,2,0.66,0,0,0
84,James Allison,28,50000,22262,11355,240420,805,208,1,0.9,0,0,1
85,Martin Bennett,37,30000,13343,5080,161840,800,75,1,0.73,1,0,0
86,Sean Davis,47,30000,13379,5325,109130,768,161,4,0.78,0,0,0
87,Taylor Rose,25,150000,106644,12898,959700,845,110,1,0.64,1,0,0
88,Shane Richardson,41,200000,135655,23867,820982,657,209,0,0.73,0,0,0
89,Jacob Cook,44,100000,52527,22481,777356,748,183,4,0.81,0,0,1
90,Tammy Ramos,52,40000,27507,4840,203382,655,131,2,0.82,1,0,0
91,Edgar Carroll,54,40000,17741,237,280387,822,228,1,0.97,0,0,1
92,Daniel Thomas,27,100000,69825,18977,636517,792,247,3,0.66,0,1,0
93,Todd Chan,27,70000,51863,13891,416957,834,208,2,0.99,1,0,1
94,Mr. Matthew Saunders DDS,45,100000,53562,23576,394291,754,61,4,0.86,0,0,1
95,Jennifer Stewart,34,200000,125826,45013,1350629,810,183,3,0.98,0,0,1
96,Virginia Vega,42,40000,23714,3887,137671,778,231,3,0.64,0,1,0
97,Jasmine Patrick,46,200000,116845,27068,503238,688,287,2,0.86,1,0,0
98,Nicole Harris,46,30000,11244,2544,151067,727,54,3,1.0,0,0,1
99,Morgan King,47,150000,61401,6453,1090892,748,66,2,0.77,0,0,0
100,Nicole Cooley,59,100000,39658,3177,313570,815,205,0,0.93,0,0,1
101,William Pierce,23,200000,85533,23721,408800,844,64,4,1.0,0,0,1
102,Tamara Stephens,23,40000,23589,7286,155687,743,288,4,0.64,0,1,0
103,Stephanie Jenkins,55,70000,52334,193,446672,734,251,4,1.0,0,0,1
104,Stanley Zuniga,31,150000,58780,4822,816465,801,38,1,0.89,0,0,1
105,David Davenport,24,30000,10741,1153,219510,654,295,1,0.95,1,0,0
106,Benjamin Mitchell,55,40000,17305,3132,232656,708,163,0,0.75,1,1,0
107,Sarah Gray,52,150000,104010,4938,934536,840,219,3,0.85,0,0,1
108,Nathan Davidson,33,30000,12087,7331,164873,765,260,4,0.99,0,0,1
109,Juan Ayala,42,150000,97037,6293,408327,759,116,1,0.89,0,0,1
110,Gabriel Wiggins,49,100000,56386,21469,395528,691,203,2,0.61,1,0,0
111,Connie Mullins,46,70000,46044,16358,521864,770,206,3,0.84,0,1,1
112,Jennifer Graham,55,200000,120285,31663,940338,818,170,2,0.93,0,1,1
113,Monica Smith,58,30000,11466,1103,113635,794,235,4,0.94,0,0,1
114,Joseph Gates,53,40000,22856,2992,183405,833,150,2,0.92,1,1,1
115,Teresa Rodriguez,56,40000,14353,3579,160078,730,273,3,0.9,1,1,1
116,Janice Norman,34,200000,127539,46508,1033105,683,188,1,0.89,0,0,0
117,William Giles,46,150000,102684,32343,584397,723,164,2,0.9,0,0,1
118,Joshua Terry,31,40000,29521,8650,224190,689,108,3,0.94,0,0,0
119,Corey Wagner,48,50000,23519,2300,326935,714,30,3,0.85,0,0,0
120,Sandra Wood,35,150000,71118,14967,518031,659,23,1,0.62,0,0,0
121,Amanda Holmes,54,200000,142794,35863,1098484,760,46,3,0.98,0,0,1
122,Christopher Duncan,41,30000,19145,2113,93174,698,284,0,0.91,0,0,0
