customer_id,customer_name,age,monthly_income,monthly_expense,existing_emi,avg_balance,credit_score,digital_transactions,loan_inquiries,salary_consistency,property_interest,vehicle_interest,conversion,avg_salary_credit,avg_monthly_spending,avg_account_balance,foir,repayment_capacity,behavior_score,lead_score
1,Patty Garcia,59,70000,51120,12809,391436,752,141,2,0.64,0,0,0,70212.66666666667,48350.75,390589.9166666667,18.3,6071,66.24117647058823,100.0
2,Dustin Hubbard,37,70000,29602,13218,318565,703,125,3,0.67,1,1,0,71475.58333333333,28913.666666666668,317844.5,18.88,27180,64.11176470588235,100.0
3,Brian Heath,42,50000,28724,4786,391513,780,276,4,0.82,1,0,1,50069.166666666664,30161.666666666668,393453.3333333333,9.57,16490,87.92941176470589,100.0
4,Bob Anderson,59,150000,83144,15652,499897,700,253,3,0.7,0,0,0,151672.25,82058.0,501864.5833333333,10.43,51204,78.00588235294117,100.0
5,Tara Davenport,56,50000,31722,10118,204599,848,147,1,0.94,0,0,1,50442.333333333336,32457.833333333332,204519.16666666666,20.24,8160,82.22941176470589,100.0
6,Austin Fox,28,200000,127675,15403,1051048,836,41,4,0.79,1,0,0,203036.08333333334,134488.83333333334,1051799.75,7.7,56922,65.20588235294117,100.0
7,Kelly Alexander,47,40000,28037,7407,247283,692,265,4,0.72,0,0,0,39392.416666666664,28033.416666666668,248089.58333333334,18.52,4556,79.7235294117647,100.0
8,Michael Williams,50,50000,33403,3385,231691,832,248,1,0.99,1,0,1,49316.25,32256.5,231842.08333333334,6.77,13212,93.76470588235294,100.0
9,Alexander Orr,52,30000,16972,5129,170853,729,266,1,0.61,0,1,0,29824.083333333332,17531.0,168674.33333333334,17.1,7899,76.72941176470587,100.0
10,Jeffrey Powell,59,200000,144460,42920,914792,662,298,0,0.7,0,0,0,200404.5,142928.91666666666,911604.1666666666,21.46,12620,81.16470588235293,100.0
11,Kendra Spencer,29,40000,28270,1466,203198,815,155,4,0.75,1,1,0,40910.916666666664,29025.0,203108.25,3.66,10264,74.26470588235294,100.0
12,Brittany Johnston,38,200000,120351,34787,945449,766,73,2,0.96,0,0,1,202514.0,119489.08333333333,943447.3333333334,17.39,44862,72.73529411764706,100.0
13,Sarah Allen,53,40000,14589,1338,83281,704,25,3,0.93,1,1,0,40306.333333333336,14576.75,84093.33333333333,3.34,24073,64.54705882352941,100.0
14,Brandon Petty DVM,54,40000,20275,4374,296998,701,268,0,0.91,0,0,0,39614.166666666664,19965.25,297851.1666666667,10.94,15351,87.94117647058823,100.0
15,Marilyn Peters,54,30000,16541,5177,67076,696,140,2,0.97,0,0,0,29885.166666666668,16566.75,67014.5,17.26,8282,77.36470588235294,100.0
16,Carl Clements,38,200000,116735,36841,1069290,817,255,2,0.75,0,1,0,205396.08333333334,115297.41666666667,1069874.9166666667,18.42,46424,84.33529411764707,100.0
17,Brooke Young,40,30000,16858,5304,198200,687,158,3,0.73,0,0,0,30353.5,17187.833333333332,198525.75,17.68,7838,69.24705882352941,100.0
18,Kaitlin Greer,45,40000,27065,4391,170466,828,144,0,0.9,0,0,1,40137.083333333336,27683.5,170881.75,10.98,8544,79.62352941176471,100.0
19,James Savage,56,70000,44553,10483,487255,723,57,1,0.98,0,0,1,70105.75,46961.166666666664,484981.75,14.98,14964,70.41764705882353,100.0
20,Jennifer Harris,58,40000,21451,4808,300429,777,270,2,0.7,0,0,0,39847.416666666664,21158.0,299240.1666666667,12.02,13741,82.4235294117647,100.0
21,Lori Dickson,30,40000,28358,5265,272179,704,197,4,0.76,0,0,0,39645.25,28224.75,270598.5,13.16,6377,74.94705882352942,100.0
22,Tiffany Suarez,58,150000,74265,32290,497559,735,299,0,0.95,0,1,1,150336.16666666666,77445.91666666667,496338.8333333333,21.53,43445,93.84117647058824,100.0
23,Leah Gilmore,22,70000,51341,3226,177941,764,48,4,0.93,0,1,1,68602.41666666667,55003.333333333336,175907.0,4.61,15433,68.96470588235294,100.0
24,Tammy Walton,36,50000,32144,10082,297635,767,217,0,0.96,0,0,1,51516.416666666664,32736.5,299748.8333333333,20.16,7774,87.17058823529412,100.0
25,Sarah Schneider,22,200000,106955,49517,400285,662,160,1,0.98,1,1,0,195414.5,109759.41666666667,401205.25,24.76,43528,78.56470588235294,100.0
26,Melissa Griffith,30,50000,21030,2756,155931,652,281,4,0.62,1,1,0,51089.833333333336,21059.833333333332,157946.5,5.51,26214,75.91176470588235,100.0
27,Jose Ryan,52,150000,88044,30925,613028,747,59,2,0.95,1,0,1,150823.5,87441.33333333333,613281.75,20.62,31031,70.26470588235294,100.0
28,Juan Bradford III,50,100000,39100,23430,612731,717,238,0,0.91,1,0,0,97699.08333333333,40288.083333333336,612411.75,23.43,37470,85.50588235294117,100.0
29,Mariah Merritt,21,40000,28305,2299,131145,713,299,3,0.83,0,0,0,39463.416666666664,28679.416666666668,134198.66666666666,5.75,9396,88.26470588235294,100.0
30,James Boyd,28,50000,27110,1311,172613,770,65,3,0.88,0,0,1,50390.166666666664,27665.333333333332,170352.83333333334,2.62,21579,68.87647058823529,100.0
31,Tiffany Anderson,31,40000,14965,2471,118290,694,262,1,0.73,0,0,0,40487.0,14440.916666666666,118525.58333333333,6.18,22564,79.89411764705882,100.0
32,Roy Williams,32,50000,29959,7894,319933,748,27,3,0.96,0,0,1,50124.916666666664,27618.25,320417.25,15.79,12147,67.5,100.0
33,Jeffrey Hatfield,57,30000,20630,6042,165363,783,127,2,0.64,0,0,0,30212.666666666668,19686.083333333332,163966.16666666666,20.14,3328,65.93529411764706,100.0
34,Tony Mitchell,46,50000,31164,6214,285354,785,251,0,0.61,1,0,0,50441.5,32719.916666666668,285755.75,12.43,12622,77.20588235294119,100.0
35,Kevin Sanchez,53,30000,17048,3333,62640,660,129,1,0.9,0,0,0,29983.416666666668,17614.166666666668,62019.416666666664,11.11,9619,72.19411764705883,100.0
36,Parker Pugh,33,70000,47548,9143,191753,757,93,4,0.67,0,1,0,68997.66666666667,46534.416666666664,190850.25,13.06,13309,62.817647058823525,100.0
37,Russell Chavez,37,150000,53918,24073,846384,809,30,1,0.7,0,0,0,147529.75,51914.25,845640.5,16.05,72009,59.55294117647059,100.0
38,Deborah Cooper,50,70000,26183,9840,542202,726,227,1,0.64,0,1,0,69098.08333333333,25230.583333333332,543356.0833333334,14.06,33977,73.92352941176472,100.0
39,Kelly Wall,57,70000,30338,16285,188873,731,177,1,0.95,1,1,1,68654.75,29879.166666666668,189050.91666666666,23.26,23377,81.5,100.0
